dt,date,pressure,wind_speed,wind_gust
1704430800,2024-01-05 05:00:00+00:00,1011.6,3.577709,4.7
1704434400,2024-01-05 06:00:00+00:00,1010.7,4.0521603,5.7
1704438000,2024-01-05 07:00:00+00:00,1009.5,4.8826222,6.4
1704441600,2024-01-05 08:00:00+00:00,1008.6,4.1617303,6.7
1704445200,2024-01-05 09:00:00+00:00,1008.7,3.7735925,5.7
1704448800,2024-01-05 10:00:00+00:00,1008.9,3.0083218,5.2
1704452400,2024-01-05 11:00:00+00:00,1009.9,2.2022717,4.3
1704456000,2024-01-05 12:00:00+00:00,1011.0,2.3,3.4
1704459600,2024-01-05 13:00:00+00:00,1011.4,1.6401219,3.9
1704463200,2024-01-05 14:00:00+00:00,1012.2,1.3416408,2.4
1704466800,2024-01-05 15:00:00+00:00,1012.2,2.7313,3.8
1704470400,2024-01-05 16:00:00+00:00,1012.0,3.7121422,5.0
1704474000,2024-01-05 17:00:00+00:00,1011.9,4.8332186,6.4
1704477600,2024-01-05 18:00:00+00:00,1011.9,3.8327537,6.5
1704481200,2024-01-05 19:00:00+00:00,1011.7,5.2630787,7.9000006
1704484800,2024-01-05 20:00:00+00:00,1011.0,3.008322,7.1
1704488400,2024-01-05 21:00:00+00:00,1010.7,2.0615528,4.5
1704492000,2024-01-05 22:00:00+00:00,1010.8,1.9646883,3.4
1704495600,2024-01-05 23:00:00+00:00,1011.1,1.1401755,3.0999997
1704499200,2024-01-06 00:00:00+00:00,1011.7,0.8,2.2
1704502800,2024-01-06 01:00:00+00:00,1012.2,2.624881,3.5
1704506400,2024-01-06 02:00:00+00:00,1013.1,3.6674242,4.9
1704510000,2024-01-06 03:00:00+00:00,1013.2,3.765634,5.2
1704513600,2024-01-06 04:00:00+00:00,1012.9,3.0413814,5.1
1704517200,2024-01-06 05:00:00+00:00,1012.1,2.2561028,4.3
1704520800,2024-01-06 06:00:00+00:00,1011.0,2.2,3.6
1704524400,2024-01-06 07:00:00+00:00,1009.7,4.2520585,5.6
1704528000,2024-01-06 08:00:00+00:00,1008.9,3.9217343,6.1
1704531600,2024-01-06 09:00:00+00:00,1008.9,3.0999997,5.5
1704535200,2024-01-06 10:00:00+00:00,1009.3,2.8017852,4.5
1704538800,2024-01-06 11:00:00+00:00,1010.2,2.2022717,4.1
1704542400,2024-01-06 12:00:00+00:00,1011.1,1.3892444,3.4
1704546000,2024-01-06 13:00:00+00:00,1011.8,2.4839485,3.6
1704549600,2024-01-06 14:00:00+00:00,1012.8,3.3286633,4.1
1704553200,2024-01-06 15:00:00+00:00,1013.0,3.1622775,5.8000007
1704556800,2024-01-06 16:00:00+00:00,1012.9,1.4764823,4.2
1704560400,2024-01-06 17:00:00+00:00,1013.0,3.224903,5.1
1704564000,2024-01-06 18:00:00+00:00,1012.8,3.7215588,6.8
1704567600,2024-01-06 19:00:00+00:00,1012.0,2.4351592,6.4
1704571200,2024-01-06 20:00:00+00:00,1011.4,2.5495098,5.5
1704574800,2024-01-06 21:00:00+00:00,1011.2,2.280351,5.7
1704578400,2024-01-06 22:00:00+00:00,1011.3,1.7262677,5.5
1704582000,2024-01-06 23:00:00+00:00,1012.0,1.118034,5.6
1704585600,2024-01-07 00:00:00+00:00,1012.4,1.5524174,5.5
1704589200,2024-01-07 01:00:00+00:00,1013.0,0.6,5.0
1704592800,2024-01-07 02:00:00+00:00,1014.0,1.8601075,5.2
