dt,date,pressure,wind_speed,wind_gust
1704744000,2024-01-08 20:00:00+00:00,1014.2,8.458132,10.8
1704747600,2024-01-08 21:00:00+00:00,1014.8,8.542248,10.9
1704751200,2024-01-08 22:00:00+00:00,1015.4,8.54927,11.0
1704754800,2024-01-08 23:00:00+00:00,1015.8,9.269843,11.7
1704758400,2024-01-09 00:00:00+00:00,1015.5,9.5210285,12.3
1704762000,2024-01-09 01:00:00+00:00,1014.9,9.676776,12.399999
1704765600,2024-01-09 02:00:00+00:00,1013.7,10.139033,13.0
1704769200,2024-01-09 03:00:00+00:00,1012.6,10.218122,13.1
1704772800,2024-01-09 04:00:00+00:00,1011.9,10.5948105,13.5
1704776400,2024-01-09 05:00:00+00:00,1011.7,10.660675,13.7
1704780000,2024-01-09 06:00:00+00:00,1011.7,11.0440035,14.0
1704783600,2024-01-09 07:00:00+00:00,1012.2,10.963576,14.2
1704787200,2024-01-09 08:00:00+00:00,1012.6,10.963576,14.1
1704790800,2024-01-09 09:00:00+00:00,1013.3,11.236103,14.3
1704794400,2024-01-09 10:00:00+00:00,1013.9,11.388591,14.6
1704798000,2024-01-09 11:00:00+00:00,1014.2,11.484337,14.9
1704801600,2024-01-09 12:00:00+00:00,1014.2,11.401754,15.0
1704805200,2024-01-09 13:00:00+00:00,1014.2,11.236103,14.6
1704808800,2024-01-09 14:00:00+00:00,1013.9,11.332254,14.8
1704812400,2024-01-09 15:00:00+00:00,1013.6,11.253887,14.6
1704816000,2024-01-09 16:00:00+00:00,1013.0,11.768602,14.9
1704819600,2024-01-09 17:00:00+00:00,1012.4,11.727746,15.4
1704823200,2024-01-09 18:00:00+00:00,1012.0,11.672618,15.4
1704826800,2024-01-09 19:00:00+00:00,1012.0,11.377171,15.1
1704830400,2024-01-09 20:00:00+00:00,1012.4,11.54123,15.0
1704834000,2024-01-09 21:00:00+00:00,1012.8,11.374534,15.1
1704837600,2024-01-09 22:00:00+00:00,1013.4,11.101802,14.7
1704841200,2024-01-09 23:00:00+00:00,1013.7,10.890363,14.5
1704844800,2024-01-10 00:00:00+00:00,1013.4,10.3,14.1
1704848400,2024-01-10 01:00:00+00:00,1012.1,10.807405,13.7
1704852000,2024-01-10 02:00:00+00:00,1010.8,10.580171,13.8
1704855600,2024-01-10 03:00:00+00:00,1009.8,9.918165,13.5
1704859200,2024-01-10 04:00:00+00:00,1009.4,9.334346,12.8
1704862800,2024-01-10 05:00:00+00:00,1009.1,9.079648,11.8
1704866400,2024-01-10 06:00:00+00:00,1009.1,8.856636,11.5
1704870000,2024-01-10 07:00:00+00:00,1009.6,9.219543,11.5
1704873600,2024-01-10 08:00:00+00:00,1010.1,8.881442,11.999999
1704877200,2024-01-10 09:00:00+00:00,1010.7,8.998889,11.5
1704880800,2024-01-10 10:00:00+00:00,1011.3,8.731552,11.999999
1704884400,2024-01-10 11:00:00+00:00,1011.5,8.246211,11.4
1704888000,2024-01-10 12:00:00+00:00,1011.7,8.523497,10.8
1704891600,2024-01-10 13:00:00+00:00,1011.7,7.169379,9.5
1704895200,2024-01-10 14:00:00+00:00,1011.4,4.887739,9.2
1704898800,2024-01-10 15:00:00+00:00,1011.3,5.1623645,6.5
1704902400,2024-01-10 16:00:00+00:00,1010.8,4.2059484,6.6
1704906000,2024-01-10 17:00:00+00:00,1010.4,5.800862,7.4
1704909600,2024-01-10 18:00:00+00:00,1010.2,4.2720017,7.4
1704913200,2024-01-10 19:00:00+00:00,1010.3,3.448188,5.7
1704916800,2024-01-10 20:00:00+00:00,1010.9,3.3241541,4.7
1704920400,2024-01-10 21:00:00+00:00,1011.5,2.7658637,4.5
1704924000,2024-01-10 22:00:00+00:00,1012.2,2.6476402,3.9
1704927600,2024-01-10 23:00:00+00:00,1012.6,3.471311,4.5
1704931200,2024-01-11 00:00:00+00:00,1012.6,4.2107005,5.6
1704934800,2024-01-11 01:00:00+00:00,1012.0,4.0792155,5.5
1704938400,2024-01-11 02:00:00+00:00,1011.3,3.863936,5.7
1704942000,2024-01-11 03:00:00+00:00,1010.6,3.8052595,5.4
1704945600,2024-01-11 04:00:00+00:00,1010.0,4.0261645,5.4
1704949200,2024-01-11 05:00:00+00:00,1010.0,4.522167,6.1
1704952800,2024-01-11 06:00:00+00:00,1010.1,4.8270073,6.1999993
1704956400,2024-01-11 07:00:00+00:00,1010.5,5.5362444,7.1
1704960000,2024-01-11 08:00:00+00:00,1011.1,5.2630787,7.2
1704963600,2024-01-11 09:00:00+00:00,1011.4,5.2952805,6.8
1704967200,2024-01-11 10:00:00+00:00,1012.1,6.0876927,7.5
